smile;innerBrowRaise;browRaise;browFurrow;noseWrinkle;upperLipRaise;lipCornerDepressor;chinRaise;lipPucker;lipPress;lipSuck;mouthOpen;smirk;eyeClosure;attention;joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;time
93;0;0;0;0;0;0;0;0;5;81;0;4;0;96;98;0;0;0;0;0;0;93;99;5.6
59;0;0;0;0;0;0;0;0;0;59;0;16;0;95;23;0;0;0;0;0;0;59;79;5.667
7;0;0;0;0;0;0;0;0;0;27;0;15;0;96;0;0;0;0;0;0;0;7;0;5.733
0;0;0;0;0;0;0;0;0;0;10;0;3;0;96;0;0;0;0;0;0;0;0;0;5.8
0;0;0;0;0;0;0;0;0;0;3;0;1;0;95;0;0;0;0;0;0;0;0;0;5.867
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;5.933
0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;6
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.067
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.133
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.267
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.333
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.4
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.467
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.533
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.6
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.667
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;6.733
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;6.8
0;0;0;0;0;0;0;0;0;1;0;0;0;0;98;0;0;0;0;0;0;0;0;0;6.867
0;0;0;0;0;0;0;0;0;5;0;0;0;0;98;0;0;0;0;0;0;0;0;0;6.933
0;0;0;0;0;0;0;0;0;18;0;0;0;0;98;0;0;0;0;0;0;0;0;0;7
0;0;0;0;0;0;0;0;0;37;0;0;0;0;98;0;0;0;0;0;0;0;0;1;7.067
0;0;0;0;0;0;0;0;0;47;0;0;0;0;98;0;0;0;0;0;0;0;0;2;7.133
0;0;0;0;0;0;0;0;0;53;0;0;0;0;98;0;0;0;0;0;0;0;0;3;7.2
0;0;1;0;0;0;0;0;0;66;0;0;1;0;98;0;0;0;0;0;0;0;0;9;7.267
0;0;1;0;0;0;0;0;0;70;1;0;4;0;98;0;0;0;0;0;0;0;0;11;7.333
0;0;1;0;0;0;0;0;0;79;2;0;14;0;98;0;0;0;0;0;0;0;0;21;7.4
2;0;1;0;0;0;0;0;0;89;7;0;41;0;97;0;0;0;0;0;0;11;0;34;7.467
32;0;1;0;0;0;0;1;0;91;16;0;55;0;97;0;0;0;0;0;0;5;32;37;7.533
88;0;1;0;0;0;0;1;0;93;23;0;10;0;97;97;0;0;0;0;0;0;88;99;7.6
99;0;1;0;0;0;0;2;1;93;43;0;0;0;98;99;0;0;0;0;0;0;99;99;7.667
99;0;1;0;0;0;0;5;1;91;61;0;0;0;98;99;0;0;0;0;0;0;99;99;7.733
